name,price,brand,operating_system,ram,cpu_model,cpu_speed,ratings_count,url
Samsung Galaxy S22 5G US Version 128GB Green - T-Mobile (Renewed),,Samsung,Android 10.0,8 GB,Snapdragon 8 Gen1,3 GHz,(91),https://www.amazon.com/Samsung-Galaxy-S22-Version-128GB/dp/B0B2X5KWN7/ref=sr_1_160?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
SAMSUNG Galaxy S21 Plus 128GB Black Factory unlocked,,Samsung,Android 11.0,8 GB,Snapdragon,2.84 GHz,(163),https://www.amazon.com/SAMSUNG-Galaxy-128GB-Factory-Unlocked/dp/B0C1HY54G9/ref=sr_1_159?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
Samsung Galaxy S22+ Plus 5G US Version 128GB Green - Verizon (Renewed),,Samsung,SnapDragon,8 GB,1.2GHz Cortex A8 Processor,3 GHz,(9),https://www.amazon.com/SAMSUNG-S22-128GB-GREEN-VERIZON/dp/B0BQKGQSMK/ref=sr_1_158?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
OtterBox Samsung Galaxy S26 Ultra Defender Series Pro Case - Black Tough Rugged & Durable Samsung Galaxy Phone Case with Magnets,,OtterBox,,,,,(669),https://www.amazon.com/OtterBox-Samsung-Galaxy-Ultra-Defender/dp/B0G752PKTD/ref=sr_1_157?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
Samsung Galaxy A36 5G Ai (for Tmobile Mint Tello & Global) (256GB + 8GB) NFC Version Latina Unlocked SM-A366E/DS 6.6 120Hz 50MP Triple (Awesome Black SM-A366EZKGTPA),,Samsung,android,8 GB,1.2GHz Cortex A13 Processor,4 GHz,(69),https://www.amazon.com/Samsung-Unlocked-SM-A366E-DS-SM-A366EZKGTPA/dp/B0F1GHDC44/ref=sr_1_156?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
Samsung Galaxy A37 5G Ai (US & Global) (Not for Xfinity) (256GB + 8GB) Version Latina NFC Unlocked SM-A376B/DS 6.7 120Hz 50MP Triple (Dark Green SM-A376BDGKGTO),,Samsung,Android 16,8 GB,,,,https://www.amazon.com/Samsung-Xfinity-Unlocked-SM-A376B-SM-A376BDGKGTO/dp/B0GWRMNN56/ref=sr_1_155?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
Samsung Galaxy A15 5G A Series Cell Phone AMOLED Display Expandable Storage Knox Security US Version 2024 Blue Black 64GB for T-Mobile only (64 GB),,Samsung,Android,4 GB,1.2GHz Cortex A8 Processor,1.2 GHz,(30),https://www.amazon.com/SAMSUNG-Display-Expandable-Security-T-Mobile/dp/B0DRPR5QGR/ref=sr_1_154?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
Samsung Galaxy Z Fold 5 5G US Version 256GB ICY Blue - Unlocked (Renewed),,Samsung,Android,12 GB,Snapdragon,3.2 GHz,(63),https://www.amazon.com/Galaxy-Z-Fold5-256GB-Unlocked/dp/B0CYR5WDSG/ref=sr_1_153?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
Samsung Galaxy S23+ Plus 5G 512GB Cream - Unlocked (Renewed),,Samsung,Android,8 GB,Snapdragon,2.8 GHz,(34),https://www.amazon.com/SAMSUNG-Galaxy-S23-Factory-Unlocked/dp/B0C7D4BN1K/ref=sr_1_152?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
Samsung Galaxy S24+ Plus Cell Phone 256GB AI Smartphone Unlocked Android 50MP Camera Fast Processor Long Battery Life AMOLED Display US Version 2024 Cobalt Violet,,Samsung,"Android 14, One UI 6.1",12 GB,Snapdragon,3.36E+3 MHz,(1311),https://www.amazon.com/Samsung-Smartphone-Unlocked-Android-Processor/dp/B0CMDR2X3M/ref=sr_1_151?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
Samsung Galaxy Z Fold 5 5G US Version 256GB Cream - Unlocked (Renewed),,Samsung,Android,12 GB,Snapdragon,3.36 GHz,(25),https://www.amazon.com/Galaxy-Z-Fold5-256GB-Unlocked/dp/B0CYR1WLZQ/ref=sr_1_150?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
Samsung Galaxy A15 5G 64GB Blue Black - Locked to T-Mobile (Renewed),,Samsung,Android,4 GB,Mediatek Dimensity 6300,2.2 GHz,(17),https://www.amazon.com/Samsung-A15-Expandable-Security-T-Mobile/dp/B0FHCSFMY4/ref=sr_1_149?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
Verizon Prepaid Samsung Galaxy A17 5G 128GB Black - Prepaid Smartphone (Locked to Verizon Prepaid) - 6.7 Super AMOLED 90Hz Display 50MP Triple Camera with OIS Android 16,,Verizon,Android 16,4 GB,,2.4 GHz,(17),https://www.amazon.com/Verizon-Prepaid-Samsung-Galaxy-128GB/dp/B0GJFW92WN/ref=sr_1_148?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
Samsung Galaxy A14 5G 64GB + 4GB RAM Black - Locked to AT&T (Renewed),,Samsung,Android,4 GB,Mediatek Dimensity 900,2.2 GHz,(52),https://www.amazon.com/Samsung-Galaxy-A14-64GB-Black/dp/B0F9D3KQW2/ref=sr_1_147?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
Samsung PRO Plus microSD Memory Card + Adapter 1TB MicroSDXC Up to 180 MB/s Full HD & 4K UHD UHS-I C10 U3 V30 A2 for Android Phones Tablets GoPRO DJI Drone MB-MD1T0SA/AM 2024,,Samsung,,,,,(13391),https://www.amazon.com/SAMSUNG-microSD-MicroSDXC-MB-MD1T0SA-AM/dp/B0CWPNS8JY/ref=sr_1_146?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
Samsung Galaxy A51 128GB + 6GB RAM Black - Unlocked (Renewed),,Samsung,Android 10.0,6 GB,Snapdragon,2.3 GHz,(1006),https://www.amazon.com/Samsung-Galaxy-Unlocked-Black-Renewed/dp/B09598JR5G/ref=sr_1_145?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
