name,price,brand,operating_system,ram,cpu_model,cpu_speed,ratings_count,url
Samsung Galaxy A36 5G A Series Cell Phone 128GB Android Smartphone AMOLED Display Rugged Design US Version 2025 Awesome Black for AT&T (Renewed),,Samsung,Android,6 GB,,,(2),https://www.amazon.com/Samsung-Android-Smartphone-Display-Version/dp/B0G2MRZ42T/ref=sr_1_160?dib=eyJ2IjoiMSJ9.05ou8kzdu4rBUrv8zbFIqcUYI54GY4XD9faOJrB1FtShq1d7pRpEl3HoQdxZQViYZE6kBdg7ICAwv6pCZKvtQLzki88KWGxScTiggO3UmyYS-CQoWSaiVB68eN3E81Kz0irn2WqAyjZ-tzJk5MVD6MXoBNKWsaUJPthmQlEmUxWodcXxagMhefG0FRjEQHTlG7yYkiPtX_KU5yE9cgmsTyDHtfL5cikHnlGOVzYaH94.2AX9yrqJ36U4Z8rMdmawnbYbxB36RB3qoxMNxaU5zSA&dib_tag=se&keywords=samsung+phone&qid=1774696548&sr=8-160
Samsung Galaxy S10+ 128GB Prism Black - AT&T (Renewed),,Samsung,Android 9.0,8 GB,Snapdragon,2.73 GHz,(412),https://www.amazon.com/Samsung-Galaxy-Cellphone-Factory-Renewed/dp/B07TSR1VDZ/ref=sr_1_159?dib=eyJ2IjoiMSJ9.05ou8kzdu4rBUrv8zbFIqcUYI54GY4XD9faOJrB1FtShq1d7pRpEl3HoQdxZQViYZE6kBdg7ICAwv6pCZKvtQLzki88KWGxScTiggO3UmyYS-CQoWSaiVB68eN3E81Kz0irn2WqAyjZ-tzJk5MVD6MXoBNKWsaUJPthmQlEmUxWodcXxagMhefG0FRjEQHTlG7yYkiPtX_KU5yE9cgmsTyDHtfL5cikHnlGOVzYaH94.2AX9yrqJ36U4Z8rMdmawnbYbxB36RB3qoxMNxaU5zSA&dib_tag=se&keywords=samsung+phone&qid=1774696548&sr=8-159
Samsung Galaxy Z Flip 6 AI Cell Phone 256GB Unlocked Android Smartphone US 2024 Silver Shadow (Renewed),,Samsung,"Android 14, OneUI 6.1",12 GB,Snapdragon,3.39 GHz,(68),https://www.amazon.com/SAMSUNG-Unlocked-Android-Smartphone-Renewed/dp/B0DL7PGY4P/ref=sr_1_158?dib=eyJ2IjoiMSJ9.05ou8kzdu4rBUrv8zbFIqcUYI54GY4XD9faOJrB1FtShq1d7pRpEl3HoQdxZQViYZE6kBdg7ICAwv6pCZKvtQLzki88KWGxScTiggO3UmyYS-CQoWSaiVB68eN3E81Kz0irn2WqAyjZ-tzJk5MVD6MXoBNKWsaUJPthmQlEmUxWodcXxagMhefG0FRjEQHTlG7yYkiPtX_KU5yE9cgmsTyDHtfL5cikHnlGOVzYaH94.2AX9yrqJ36U4Z8rMdmawnbYbxB36RB3qoxMNxaU5zSA&dib_tag=se&keywords=samsung+phone&qid=1774696548&sr=8-158
SAMSUNG Galaxy A53 (5G) 128GB Unlocked - Black (Renewed),,Samsung,Android,128 GB,Exynos 1280,2.4 GHz,(416),https://www.amazon.com/Galaxy-A53-5G-128GB-Unlocked/dp/B0B6997TLM/ref=sr_1_157?dib=eyJ2IjoiMSJ9.05ou8kzdu4rBUrv8zbFIqcUYI54GY4XD9faOJrB1FtShq1d7pRpEl3HoQdxZQViYZE6kBdg7ICAwv6pCZKvtQLzki88KWGxScTiggO3UmyYS-CQoWSaiVB68eN3E81Kz0irn2WqAyjZ-tzJk5MVD6MXoBNKWsaUJPthmQlEmUxWodcXxagMhefG0FRjEQHTlG7yYkiPtX_KU5yE9cgmsTyDHtfL5cikHnlGOVzYaH94.2AX9yrqJ36U4Z8rMdmawnbYbxB36RB3qoxMNxaU5zSA&dib_tag=se&keywords=samsung%2Bphone&qid=1774696548&sr=8-157&th=1
Samsung Galaxy Note 20 128GB 6.7 inch 5G Unlocked Mystic Green (Renewed),,Samsung,Android 10.0,8 GB,Snapdragon,,(893),https://www.amazon.com/Samsung-Galaxy-Unlocked-Mystic-Renewed/dp/B093ZCPS14/ref=sr_1_156?dib=eyJ2IjoiMSJ9.05ou8kzdu4rBUrv8zbFIqcUYI54GY4XD9faOJrB1FtShq1d7pRpEl3HoQdxZQViYZE6kBdg7ICAwv6pCZKvtQLzki88KWGxScTiggO3UmyYS-CQoWSaiVB68eN3E81Kz0irn2WqAyjZ-tzJk5MVD6MXoBNKWsaUJPthmQlEmUxWodcXxagMhefG0FRjEQHTlG7yYkiPtX_KU5yE9cgmsTyDHtfL5cikHnlGOVzYaH94.2AX9yrqJ36U4Z8rMdmawnbYbxB36RB3qoxMNxaU5zSA&dib_tag=se&keywords=samsung%2Bphone&qid=1774696548&sr=8-156&th=1
Samsung Galaxy A15 5G 64GB Smartphone - Blue Black for Cricket (Renewed),,Samsung,"Android 14, One UI 6",4 GB,,,(2),https://www.amazon.com/Samsung-Galaxy-A15-64GB-Smartphone/dp/B0G2MQZ49R/ref=sr_1_155?dib=eyJ2IjoiMSJ9.05ou8kzdu4rBUrv8zbFIqcUYI54GY4XD9faOJrB1FtShq1d7pRpEl3HoQdxZQViYZE6kBdg7ICAwv6pCZKvtQLzki88KWGxScTiggO3UmyYS-CQoWSaiVB68eN3E81Kz0irn2WqAyjZ-tzJk5MVD6MXoBNKWsaUJPthmQlEmUxWodcXxagMhefG0FRjEQHTlG7yYkiPtX_KU5yE9cgmsTyDHtfL5cikHnlGOVzYaH94.2AX9yrqJ36U4Z8rMdmawnbYbxB36RB3qoxMNxaU5zSA&dib_tag=se&keywords=samsung+phone&qid=1774696548&sr=8-155
Samsung A53 Black T-Mobile Locked (Renewed),,Samsung,Android,6 GB,Exynos 1280,2 GHz,(66),https://www.amazon.com/Samsung-A53-T-Mobile-Locked-Renewed/dp/B0BDJNVQKN/ref=sr_1_154?dib=eyJ2IjoiMSJ9.05ou8kzdu4rBUrv8zbFIqcUYI54GY4XD9faOJrB1FtShq1d7pRpEl3HoQdxZQViYZE6kBdg7ICAwv6pCZKvtQLzki88KWGxScTiggO3UmyYS-CQoWSaiVB68eN3E81Kz0irn2WqAyjZ-tzJk5MVD6MXoBNKWsaUJPthmQlEmUxWodcXxagMhefG0FRjEQHTlG7yYkiPtX_KU5yE9cgmsTyDHtfL5cikHnlGOVzYaH94.2AX9yrqJ36U4Z8rMdmawnbYbxB36RB3qoxMNxaU5zSA&dib_tag=se&keywords=samsung%2Bphone&qid=1774696548&sr=8-154&th=1
SAMSUNG A52 5G A526U 128GB Fully Unlocked Android Smartphone (Renewed),,Samsung,Android,6 GB,Snapdragon,2.2 GHz,(2484),https://www.amazon.com/Samsung-Galaxy-Display-Camera-Smartphone/dp/B09C6LMM28/ref=sr_1_153?dib=eyJ2IjoiMSJ9.05ou8kzdu4rBUrv8zbFIqcUYI54GY4XD9faOJrB1FtShq1d7pRpEl3HoQdxZQViYZE6kBdg7ICAwv6pCZKvtQLzki88KWGxScTiggO3UmyYS-CQoWSaiVB68eN3E81Kz0irn2WqAyjZ-tzJk5MVD6MXoBNKWsaUJPthmQlEmUxWodcXxagMhefG0FRjEQHTlG7yYkiPtX_KU5yE9cgmsTyDHtfL5cikHnlGOVzYaH94.2AX9yrqJ36U4Z8rMdmawnbYbxB36RB3qoxMNxaU5zSA&dib_tag=se&keywords=samsung+phone&qid=1774696548&sr=8-153
Samsung Galaxy S24 FE 5G | 128GB 8GB | 6.7 AMOLED 2X 10-Core Processor | US Model Fully Unlocked for AT&T Verizon T-Mobile Global | Fast Wireless Charger Bundle (Graphite),,Samsung,Android,8 GB,Exynos 2400E,2.66 GHz,(335),https://www.amazon.com/Processor-Unlocked-T-Mobile-Wireless-Graphite/dp/B0DTBPGNYZ/ref=sr_1_152?dib=eyJ2IjoiMSJ9.05ou8kzdu4rBUrv8zbFIqcUYI54GY4XD9faOJrB1FtShq1d7pRpEl3HoQdxZQViYZE6kBdg7ICAwv6pCZKvtQLzki88KWGxScTiggO3UmyYS-CQoWSaiVB68eN3E81Kz0irn2WqAyjZ-tzJk5MVD6MXoBNKWsaUJPthmQlEmUxWodcXxagMhefG0FRjEQHTlG7yYkiPtX_KU5yE9cgmsTyDHtfL5cikHnlGOVzYaH94.2AX9yrqJ36U4Z8rMdmawnbYbxB36RB3qoxMNxaU5zSA&dib_tag=se&keywords=samsung+phone&qid=1774696548&sr=8-152
Samsung Galaxy A03s SM-A037U 32GB 3GB RAM Boost Mobile 6.5 HD+ Display Black,,Samsung,Android 11.0,,,,(1),https://www.amazon.com/Samsung-Galaxy-SM-A037U-Mobile-Display/dp/B0FFJZD3CH/ref=sr_1_151?dib=eyJ2IjoiMSJ9.05ou8kzdu4rBUrv8zbFIqcUYI54GY4XD9faOJrB1FtShq1d7pRpEl3HoQdxZQViYZE6kBdg7ICAwv6pCZKvtQLzki88KWGxScTiggO3UmyYS-CQoWSaiVB68eN3E81Kz0irn2WqAyjZ-tzJk5MVD6MXoBNKWsaUJPthmQlEmUxWodcXxagMhefG0FRjEQHTlG7yYkiPtX_KU5yE9cgmsTyDHtfL5cikHnlGOVzYaH94.2AX9yrqJ36U4Z8rMdmawnbYbxB36RB3qoxMNxaU5zSA&dib_tag=se&keywords=samsung+phone&qid=1774696548&sr=8-151
