spec_id,phone_id,ram,cpu_id,cpu_speed
1,1,8 GB,1,3 GHz
2,2,8 GB,2,2.84 GHz
3,3,8 GB,3,3 GHz
4,4,Not Specified,4,Not Specified
5,5,8 GB,5,4 GHz
6,6,8 GB,4,Not Specified
7,7,4 GB,3,1.2 GHz
8,8,12 GB,2,3.2 GHz
9,9,8 GB,2,2.8 GHz
10,10,12 GB,2,3.36E+3 MHz
11,11,12 GB,2,3.36 GHz
12,12,4 GB,6,2.2 GHz
13,13,4 GB,4,2.4 GHz
14,14,4 GB,7,2.2 GHz
15,15,Not Specified,4,Not Specified
16,16,6 GB,2,2.3 GHz
17,17,12 GB,5,5 GHz
18,18,Not Specified,4,Not Specified
19,19,12 GB,2,3.36 GHz
20,20,4 GB,4,Not Specified
21,21,4 GB,8,2 GHz
22,22,4 GB,9,1.7 GHz
23,23,8 GB,2,Not Specified
24,24,8 GB,2,2.5 GHz
25,25,Not Specified,10,2.2 GHz
26,26,8 GB,11,2.4 GHz
27,27,4 GB,4,Not Specified
28,28,8 GB,5,4 GHz
29,29,Not Specified,4,Not Specified
30,30,6 GB,12,2.84 GHz
31,31,Not Specified,4,Not Specified
32,32,Not Specified,4,Not Specified
33,33,8 GB,2,2.5 GHz
34,34,Not Specified,4,Not Specified
35,35,12 GB,2,3.36 GHz
36,36,8 GB,13,3.2 GHz
37,37,Not Specified,4,Not Specified
38,38,3 GB,2,1.8 GHz
39,39,8 GB,14,"1.8, 2.4, 2.8 GHz"
40,40,Not Specified,4,Not Specified
41,41,3 GB,2,2.2 GHz
42,42,2 GB,15,1.8 GHz
43,43,3 GB,2,2.35 GHz
44,44,3 GB,3,2 GHz
45,45,8 GB,2,2.5 GHz
46,46,Not Specified,16,3.36 GHz
47,47,12 GB,2,2.9 GHz
48,48,256 GB,5,4 GHz
49,49,4 GB,17,2.4 GHz
50,50,8 GB,2,2.8 GHz
51,51,8 GB,17,2.4 GHz
52,52,6 GB,18,2.75 GHz
53,53,Not Specified,4,Not Specified
54,54,12 GB,2,3.5 GHz
55,55,8 GB,2,3.2 GHz
56,56,12 GB,2,2.9 GHz
57,57,4 GB,19,2.2 GHz
58,58,4 GB,20,2.2 GHz
59,59,12 GB,2,2.9 GHz
60,60,8 GB,2,2.5 GHz
61,61,4 GB,21,2.4 GHz
62,62,8 GB,22,3.2E+3 MHz
63,63,8 GB,22,3.2E+3 MHz
64,64,4 GB,4,Not Specified
65,65,6 GB,2,"2.4, 2.4 GHz"
66,66,4 GB,2,2.2 GHz
67,67,6 GB,23,2 GHz
68,68,8 GB,5,4 GHz
69,69,4 GB,15,2 GHz
70,70,6 GB,2,2.7E+3 GHz
71,71,12 GB,2,2.42 GHz
72,72,12 GB,2,2.8 GHz
73,73,8 GB,2,2.4 GHz
74,74,8 GB,2,2.42 GHz
75,75,8 GB,4,Not Specified
76,76,8 GB,2,2.84 GHz
77,77,6 GB,21,2.84 GHz
78,78,8 GB,21,2.8 GHz
79,79,3 GB,24,2 GHz
80,80,Not Specified,4,Not Specified
81,81,Not Specified,4,Not Specified
82,82,Not Specified,4,Not Specified
83,83,Not Specified,4,Not Specified
84,84,64 GB,25,2 GHz
85,85,Not Specified,4,Not Specified
86,86,Not Specified,4,Not Specified
87,87,8 GB,2,2.2 GHz
88,88,Not Specified,4,Not Specified
89,89,Not Specified,4,Not Specified
90,90,Not Specified,4,Not Specified
91,91,4 GB,4,Not Specified
92,92,12 GB,26,4470 MHz
93,93,3 GB,2,1.6 GHz
94,94,8 GB,2,2.5 GHz
95,95,12 GB,26,4.47 GHz
96,96,12 GB,2,2.5 GHz
97,97,12 GB,27,4470 MHz
98,98,6 GB,21,"1.8, 2.4 GHz"
99,99,4 GB,28,2.2 GHz
100,100,512 GB,29,3.2 GHz
101,101,8 GB,2,2.5 GHz
102,102,4 GB,30,Not Specified
103,103,12 GB,2,3.36 GHz
104,104,8 GB,2,2.42 GHz
105,105,4 GB,4,2.2 GHz
106,106,6 GB,31,2 GHz
107,107,8 GB,2,3 GHz
108,108,4 GB,4,Not Specified
109,109,16 GB,32,Not Specified
110,110,16 GB,32,Not Specified
111,111,8 GB,2,2.8 GHz
112,112,8 GB,2,2.2 GHz
113,113,8 GB,33,3.1 GHz
114,114,6 GB,2,2.8 GHz
115,115,2 GB,10,2.35 GHz
116,116,8 GB,2,2.5 GHz
117,117,8 GB,2,Not Specified
118,118,8 GB,2,2.4 GHz
119,119,12 GB,2,4.47 GHz
120,120,8 GB,2,3.4 GHz
121,121,8 GB,2,2.5 GHz
122,122,6 GB,2,2.4 GHz
123,123,4 GB,5,5 GHz
124,124,4 GB,34,2 GHz
125,125,12 GB,2,3.5 GHz
126,126,8 GB,2,2.4 GHz
127,127,6 GB,2,Not Specified
128,128,8 GB,2,2.5 GHz
129,129,3 GB,4,Not Specified
130,130,12 GB,26,4470 MHz
131,131,6 GB,4,Not Specified
132,132,8 GB,2,2.8 GHz
133,133,12 GB,21,4.47 GHz
134,134,12 GB,2,3.36 GHz
135,135,4 GB,35,2.2 GHz
136,136,8 GB,5,4 GHz
137,137,32 GB,21,1.61 GHz
138,138,8 GB,2,2.84 GHz
139,139,12 GB,2,2.9 GHz
140,140,4 GB,22,2.4E+3 MHz
141,141,4 GB,19,2 GHz
142,142,8 GB,2,2.8 GHz
143,143,Not Specified,4,Not Specified
144,144,Not Specified,4,Not Specified
145,145,Not Specified,4,Not Specified
146,146,8 GB,2,2.2 GHz
147,147,16 GB,2,Not Specified
148,148,Not Specified,4,Not Specified
149,149,512 GB,29,3.2 GHz
150,150,512 GB,4,Not Specified
151,151,Not Specified,4,Not Specified
152,152,Not Specified,4,Not Specified
153,153,Not Specified,4,Not Specified
154,154,8 GB,2,2.2 GHz
155,155,64 GB,25,2 GHz
156,156,8 GB,36,2.4 GHz
157,157,6 GB,1,3 GHz
158,158,8 GB,36,4.6 GHz
159,159,Not Specified,5,5 GHz
160,160,12 GB,2,4.47 GHz
161,161,12 GB,2,2.9 GHz
162,162,8 GB,4,2.8E+3 MHz
163,163,16 GB,4,Not Specified
164,164,16 GB,32,Not Specified
165,165,12 GB,2,2.5 GHz
166,166,12 GB,21,2.9 GHz
167,167,8 GB,2,2.4 GHz
168,168,12 GB,2,3.5 GHz
169,169,4 GB,17,2 GHz
170,170,12 GB,2,3.36 GHz
171,171,4 GB,10,2 GHz
172,172,8 GB,2,3.2 GHz
173,173,12 GB,32,Not Specified
174,174,12 GB,32,Not Specified
