phone_id,name,price,brand_id,os_id,ratings_count,url
1,Samsung Galaxy S22 5G US Version 128GB Green - T-Mobile (Renewed),402.0,1,1,91,https://www.amazon.com/Samsung-Galaxy-S22-Version-128GB/dp/B0B2X5KWN7/ref=sr_1_160?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
2,SAMSUNG Galaxy S21 Plus 128GB Black Factory unlocked,735.0,1,2,163,https://www.amazon.com/SAMSUNG-Galaxy-128GB-Factory-Unlocked/dp/B0C1HY54G9/ref=sr_1_159?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
3,Samsung Galaxy S22+ Plus 5G US Version 128GB Green - Verizon (Renewed),570.0,1,3,9,https://www.amazon.com/SAMSUNG-S22-128GB-GREEN-VERIZON/dp/B0BQKGQSMK/ref=sr_1_158?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
4,OtterBox Samsung Galaxy S26 Ultra Defender Series Pro Case - Black Tough Rugged & Durable Samsung Galaxy Phone Case with Magnets,406.0,2,4,669,https://www.amazon.com/OtterBox-Samsung-Galaxy-Ultra-Defender/dp/B0G752PKTD/ref=sr_1_157?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
5,Samsung Galaxy A36 5G Ai (for Tmobile Mint Tello & Global) (256GB + 8GB) NFC Version Latina Unlocked SM-A366E/DS 6.6 120Hz 50MP Triple (Awesome Black SM-A366EZKGTPA),371.0,1,5,69,https://www.amazon.com/Samsung-Unlocked-SM-A366E-DS-SM-A366EZKGTPA/dp/B0F1GHDC44/ref=sr_1_156?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
6,Samsung Galaxy A37 5G Ai (US & Global) (Not for Xfinity) (256GB + 8GB) Version Latina NFC Unlocked SM-A376B/DS 6.7 120Hz 50MP Triple (Dark Green SM-A376BDGKGTO),1000.0,1,6,0,https://www.amazon.com/Samsung-Xfinity-Unlocked-SM-A376B-SM-A376BDGKGTO/dp/B0GWRMNN56/ref=sr_1_155?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
7,Samsung Galaxy A15 5G A Series Cell Phone AMOLED Display Expandable Storage Knox Security US Version 2024 Blue Black 64GB for T-Mobile only (64 GB),320.0,1,7,30,https://www.amazon.com/SAMSUNG-Display-Expandable-Security-T-Mobile/dp/B0DRPR5QGR/ref=sr_1_154?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
8,Samsung Galaxy Z Fold 5 5G US Version 256GB ICY Blue - Unlocked (Renewed),914.0,1,7,63,https://www.amazon.com/Galaxy-Z-Fold5-256GB-Unlocked/dp/B0CYR5WDSG/ref=sr_1_153?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
9,Samsung Galaxy S23+ Plus 5G 512GB Cream - Unlocked (Renewed),421.0,1,7,34,https://www.amazon.com/SAMSUNG-Galaxy-S23-Factory-Unlocked/dp/B0C7D4BN1K/ref=sr_1_152?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung+phone&qid=1781450916
10,Samsung Galaxy S24+ Plus Cell Phone 256GB AI Smartphone Unlocked Android 50MP Camera Fast Processor Long Battery Life AMOLED Display US Version 2024 Cobalt Violet,766.0,1,8,1311,https://www.amazon.com/Samsung-Smartphone-Unlocked-Android-Processor/dp/B0CMDR2X3M/ref=sr_1_151?dib=eyJ2IjoiMSJ9.NjDZHLBbf_H19ARszY1YBkC_9iLMjqfOtVVZbb5dAWYRDuFX7R1BUraO8Rl-88xPKDgVlz02TG9N4P4UTzdEqK1jqeOC-nq34ai2e6sfhaOuXCzXlEBZ0k-51XhJpQN8aRma0mjrYe44wUj_O_M9AfQoxkRoyojmIHj721gh3ao_S4jg_nxPOTj5eTPfomMrTEMNB10jiHuodvVSvYlThR34jTHd4D5eaHVBvxogmrQ.iHwP1EsVmP3j9SkjEqcMtnrZ1rCI3rghUWk72L_uaE0&dib_tag=se&keywords=samsung%2Bphone&qid=1781450916&th=1
