spec_id,phone_id,ram,cpu_id,cpu_speed
1,1,8 GB,1,Not Specified
2,2,Not Specified,2,Not Specified
3,3,Not Specified,2,Not Specified
4,4,12 GB,3,3.39 GHz
5,5,12 GB,3,3.39 GHz
6,6,12 GB,3,3.36 GHz
7,7,4 GB,4,2 GHz
8,8,8 GB,3,Not Specified
9,9,8 GB,5,3.2 GHz
10,10,8 GB,3,3.36 GHz
11,11,12 GB,6,Not Specified
12,12,Not Specified,2,Not Specified
13,13,8 GB,7,1.78 GHz
14,14,12 GB,3,2.8 GHz
15,15,12 GB,3,3.3 GHz
16,16,12 GB,3,4.47 GHz
17,17,8 GB,8,2.7 GHz
18,18,Not Specified,2,Not Specified
19,19,6 GB,9,2.42 GHz
20,20,2 GB,10,1.35 GHz
21,21,Not Specified,2,Not Specified
22,22,Not Specified,2,Not Specified
23,23,Not Specified,2,Not Specified
24,24,Not Specified,2,Not Specified
25,25,12 GB,3,3.39 GHz
26,26,12 GB,3,4.47 GHz
27,27,12 GB,3,3.36E+3 MHz
28,28,8 GB,2,2.6 GHz
29,29,6 GB,3,"2.4, 2.4 GHz"
30,30,8 GB,11,3.4 MHz
31,31,4 GB,12,2.2 GHz
32,32,8 GB,3,2.8 GHz
33,33,Not Specified,2,Not Specified
34,34,12 GB,3,2.75 GHz
35,35,4 GB,13,Not Specified
36,36,12 GB,3,2.84 GHz
37,37,8 GB,14,2 GHz
38,38,12 GB,3,2.8 GHz
39,39,8 GB,3,2.7 GHz
40,40,4 GB,3,2.8 GHz
41,41,8 GB,3,2.84 GHz
42,42,Not Specified,2,Not Specified
43,43,Not Specified,2,Not Specified
44,44,Not Specified,2,Not Specified
45,45,Not Specified,15,2 GHz
46,46,4 GB,16,2.2 GHz
47,47,4 GB,5,2.4 GHz
48,48,8 GB,3,2.75 GHz
49,49,8 GB,17,3.36 GHz
50,50,8 GB,3,2.8 GHz
51,51,12 GB,3,3.39 GHz
52,52,6 GB,2,Not Specified
53,53,Not Specified,2,Not Specified
54,54,Not Specified,2,Not Specified
55,55,12 GB,18,3.39 GHz
56,56,8 GB,19,3.1 GHz
57,57,4 GB,10,2 GHz
58,58,8 GB,3,2.8 GHz
59,59,6 GB,20,2.2 GHz
60,60,4 GB,4,2 GHz
61,61,8 GB,3,Not Specified
62,62,8 GB,3,2.84 GHz
63,63,Not Specified,2,Not Specified
64,64,Not Specified,2,Not Specified
65,65,Not Specified,2,Not Specified
66,66,Not Specified,21,Not Specified
67,67,8 GB,22,2.8 GHz
68,68,8 GB,3,2.42 GHz
69,69,32 GB,3,1.8 GHz
70,70,12 GB,3,Not Specified
71,71,4 GB,2,Not Specified
72,72,12 GB,3,3.39 GHz
73,73,8 GB,3,2840 MHz
74,74,Not Specified,2,Not Specified
75,75,Not Specified,2,Not Specified
76,76,3 GB,3,1.8 GHz
77,77,8 GB,23,2.4 GHz
78,78,4 GB,14,2.4 GHz
79,79,3 GB,3,2.2 GHz
80,80,4 GB,16,2.2 GHz
81,81,8 GB,3,2.9 GHz
82,82,4 GB,10,2 GHz
83,83,12 GB,5,"2.2, 2.9, 3.1, 3.39 GHz"
84,84,Not Specified,2,Not Specified
85,85,Not Specified,2,Not Specified
86,86,Not Specified,2,Not Specified
87,87,Not Specified,2,Not Specified
88,88,12 GB,5,"2.2, 2.9, 3.1, 3.39 GHz"
89,89,12 GB,3,4.47 GHz
90,90,3 GB,3,2.2 GHz
91,91,6 GB,3,2.2 GHz
92,92,3 GB,24,2 GHz
93,93,3 GB,4,2.3 GHz
94,94,6 GB,25,2 GHz
95,95,6 GB,3,2.8 GHz
96,96,Not Specified,2,Not Specified
97,97,8 GB,3,Not Specified
98,98,8 GB,3,2.8E+3 MHz
99,99,12 GB,3,2.42 GHz
100,100,8 GB,26,2.9 GHz
101,101,8 GB,3,2.84 GHz
102,102,12 GB,3,3.36 GHz
103,103,12 GB,3,4.47 GHz
104,104,4 GB,27,1.74 GHz
105,105,Not Specified,2,Not Specified
106,106,Not Specified,2,Not Specified
107,107,Not Specified,2,Not Specified
108,108,Not Specified,2,Not Specified
109,109,8 GB,1,3.1 GHz
110,110,8 GB,3,2.8 GHz
111,111,8 GB,3,2.8 GHz
112,112,4 GB,14,2.4 GHz
113,113,12 GB,28,5 GHz
114,114,6 GB,29,2 GHz
115,115,128 GB,30,2.2 GHz
116,116,4 GB,3,2.2 GHz
117,117,Not Specified,2,Not Specified
118,118,2 GB,10,1.8 GHz
119,119,8 GB,1,2.4 GHz
120,120,8 GB,3,2.5 GHz
121,121,12 GB,31,2.84 GHz
122,122,4 GB,32,2 GHz
123,123,16 GB,12,2 GHz
124,124,8 GB,3,2.84 GHz
125,125,8 GB,3,2.8 GHz
126,126,Not Specified,2,Not Specified
127,127,Not Specified,2,Not Specified
128,128,Not Specified,2,Not Specified
129,129,Not Specified,2,Not Specified
130,130,8 GB,2,Not Specified
131,131,8 GB,3,2.84 GHz
132,132,12 GB,3,2.42 GHz
